busId,busName,lng,lat
1733,창경궁.고궁호텔.메이플레이스호텔,126.99730996,37.576547748
1762,광화문,126.97383076,37.57019505
1763,종로1가,126.98045467,37.570264998
1766,종로2가,126.98557736,37.570087325
1767,종로3가,126.99075358,37.570427757
1768,종로3가,126.99098225,37.570254009
1769,종로4가,126.99685592,37.570566382
1771,동대문종합시장종로6가,127.0032038,37.570912982
1776,종로도서관,126.96708117,37.576543337
1777,경복궁역,126.97149866,37.576081563
1778,경복궁역,126.97132682,37.575908641
1779,안국역,126.98530599,37.576518944
1780,안국역,126.98542803,37.576428678
1781,창덕궁,126.98890104,37.577422907
1782,성대입구,126.99958114,37.583665638
1790,종로사우나,126.98758721,37.573741319
1791,엄마분식,126.95573845,37.601266235
1792,삼청파출소,126.9812398,37.581682728
1793,통인시장.종로구보건소,126.968674,37.580327023
1794,종로5가역,127.00001586,37.570777785
1795,평창동산림제3초소,126.97701566,37.617270361
1796,배화여중고,126.96784043,37.576765393
1797,대학로입구.이화사거리,127.00259206,37.576085767
1798,운현궁,126.98680705,37.575232042
1799,상명대입구,126.95700828,37.600034304
1800,삼청동주민센터,126.98206704,37.58470051
1801,박노수미술관,126.96691621,37.581071503
1802,김창열.윤명로화실,126.97838387,37.616342564
1803,사직동주민센터,126.96892651,37.576263028
1804,충신시장,127.00549571,37.575021562
1805,안국역2번출구앞,126.98607014,37.577156405
1807,금융연수원,126.98177881,37.585866516
1809,감람산기도원,126.97989772,37.615948589
1810,카센터.터널앞,126.96594983,37.574016776
1812,재동초등학교,126.98528032,37.57876787
1814,삼청공원삼거리.옥호정터,126.98171142,37.587417666
1815,이화사거리,127.00216125,37.575324436
1816,연화정사,126.97950641,37.614650673
1817,대신중고,126.96168408,37.572483446
1819,현대사거리,126.98662929,37.579273767
1820,교남동주민센터,126.96132445,37.572186529
1821,부암동주민센터.무계원,126.96396263,37.592970292
1823,형제봉입구,126.98169036,37.612867855
1824,교남동새마을금고,126.96235111,37.571547172
1825,창신초교,127.01555997,37.57600289
1826,가회동주민센터,126.98504626,37.579944256
1827,볼링장,126.98795873,37.579288214
1829,부암슈퍼,126.96367619,37.594743474
1830,지구촌교회,126.97937139,37.613083646
1831,월암공원,126.96406088,37.571201673
1832,숭인1동주민센터,127.01541524,37.577406827
1833,북촌한옥마을입구.정세권활동터,126.98508744,37.581282345
1835,하림각,126.96293575,37.597661184
1836,보현빌라,126.97826768,37.615273419
